codigo_participante,codigo_subtema,subtema,valor,cita_literal,archivo_fuente,criterio
EFT-02,SUB-10,Seguridad y señales de alarma,1,Yo generaría una alerta cuando el paciente registre un dolor muy alto,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-11,Accesibilidad y facilidad de uso,1,También podría dar instrucciones simples sin demasiadas palabras técnicas,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-12,Organización centralizada,1,"la función indispensable sería el seguimiento de las rutinas junto con el registro de dolor, fatiga y el cumplimiento.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-13,Control profesional de las decisiones,1,"yo lo usaría como apoyo para detectar problemas y organizar información, no como un reemplazo del fisioterapeuta.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-14,Explicabilidad e incertidumbre,1,Lo importante es que el sistema explique por qué generó una recomendación,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-16,Priorización y frecuencia de avisos,1,Además no todas las alertas deberían tener el mismo nivel de urgencia.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-02,SUB-17,Revocación y gestión de permisos,1,yo considero que es importante que exista una forma sencilla de retirar permiso.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-01,Adherencia y recordatorios,1,Los recordatorios podrían incluir mensajes de progreso para mantener motivación,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-02,Instrucciones y dosificación,1,"puede equivocarse en la respiración, la velocidad de lo que hace o el orden de los ejercicios. También puede saltarse el calentamiento, reducir los descansos",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-03,Apoyo audiovisual,1,un video bien hecho puede reemplazar muchas implicaciones largas.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-04,Supervisión y corrección de ejecución,1,cuando se cansa demasiado empieza a comenzar a realizar movimientos o reducir el control.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-05,Registro de dolor y fatiga,1,"Tendría que registrar al paciente el cumplimiento, las repeticiones que hace, si siente algún dolor, la fatiga",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-06,Seguimiento del progreso,1,el profesional pudiera comparar semanas y filtrar por ejercicio.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-07,Comunicación con fisioterapeuta,1,Yo elegiría una función de comunicación y seguimiento integrada.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-08,Privacidad de cámara y datos,1,La persona debería activar la función voluntariamente y saber cuándo está funcionando.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-09,Acceso familiar autorizado,1,un familiar solo lo autoriza,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-10,Seguridad y señales de alarma,1,"si presenta dolor intenso, si se llega a marear rápidamente, una dificultad respiratoria, una caída",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-11,Accesibilidad y facilidad de uso,1,"No haría un formulario demasiado largo, quizá una pantalla rápida terminal y una opción para agregar comentarios.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-12,Organización centralizada,1,Yo elegiría una función de comunicación y seguimiento integrada.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-13,Control profesional de las decisiones,1,nunca debería convertir una sugerencia en una orden clínica automática para el paciente.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-14,Explicabilidad e incertidumbre,1,cada resultado debería incluir una explicación comprensible. ¿Qué datos utilizó? ¿Qué detectó? ¿Y qué nivel de confianza tiene?,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-16,Priorización y frecuencia de avisos,1,podría existir una notificación menos urgente cuando falte varias sesiones.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
EFT-03,SUB-17,Revocación y gestión de permisos,1,Me parece útil que el paciente pueda revisar quién consultó su información y cuándo,02_Evidencias/Transcripciones/TRANSCRIPCIONES_EFT-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-01,Adherencia y recordatorios,1,Un recordatorio podría ayudar a mantener el hábito,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-02,Instrucciones y dosificación,1,"se confundían, sobre todo especialmente las repeticiones, los descansos o la posición exacta.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-03,Apoyo audiovisual,1,"El video podría mostrar la posición correcta, la cantidad de repeticiones y algún error que tal vez se debe evitar.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-04,Supervisión y corrección de ejecución,1,"no tengo conocimientos como para corregir una postura, decir si el movimiento está adecuado o no.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-05,Registro de dolor y fatiga,1,"si el dolor es elevado, yo considero que la aplicación debería pedir que detenga el ejercicio",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-06,Seguimiento del progreso,1,"También podría ver una gráfica, una gráfica siempre del progreso",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-07,Comunicación con fisioterapeuta,1,después podría notificar al fisioterapeuta o indicar que se comunique con él.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-08,Privacidad de cámara y datos,1,me preocuparía que la cámara permanezca grabando o que los videos se guarden sin necesidad.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-09,Acceso familiar autorizado,1,"Sí, pero siempre dependiendo de lo que el paciente haya autorizado.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-10,Seguridad y señales de alarma,1,"si el dolor es elevado, yo considero que la aplicación debería pedir que detenga el ejercicio y mostrar una advertencia clara",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-11,Accesibilidad y facilidad de uso,1,"Debería ser sencilla, clara, con letras grandes, botones visibles y pocas opciones en cada pantalla.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-16,Priorización y frecuencia de avisos,1,No necesitaría recibir cada detalle del tratamiento. Las alertas deberían centrarse en situaciones donde realmente pueda ayudar.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-01,SUB-17,Revocación y gestión de permisos,1,decidir qué puede ver y retirar el permiso cuando quiera.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-01,Adherencia y recordatorios,1,sólo avisar al familiar si él pide ayuda o si deja pasar varias rutinas.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-02,Instrucciones y dosificación,1,olvida si debía hacerlo una o dos veces al día o cuando descansa entre series.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-03,Apoyo audiovisual,1,Él conserva fotos o notas anteriores,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-04,Supervisión y corrección de ejecución,1,una vez estaba levantando el brazo más de lo que le había indicado,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-06,Seguimiento del progreso,1,Me bastaría un resumen semanal con cuántas rutinas estaban programadas,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-07,Comunicación con fisioterapeuta,1,sería útil tener una forma clara de saber a quién consultar si una indicación no coincide con lo que recordamos.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-08,Privacidad de cámara y datos,1,Preferiría que la cámara sólo se active cuando el paciente lo decida,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-09,Acceso familiar autorizado,1,el paciente llega al familiar y marque por separado qué puede ver,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-10,Seguridad y señales de alarma,1,"Una solicitud directa de ayuda, una caída, dos rutinas consecutivas sin realizar",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-11,Accesibilidad y facilidad de uso,1,Los botones deberían decir exactamente lo que hacen y que no dependen de símbolos difíciles de entender.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-15,Vigencia y versiones de rutinas,1,"Debería mostrar una sola rutina como activa, indicar la fecha de la última modificación y marcar las anteriores como reemplazadas.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-16,Priorización y frecuencia de avisos,1,no quisiera recibir un aviso por cada ejercicio.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-02,SUB-17,Revocación y gestión de permisos,1,También sería útil poder poner una fecha de vencimiento al permiso en lugar de dejar el acceso abierto para siempre.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-02_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-01,Adherencia y recordatorios,1,Principalmente lo que necesita es que le recuerden la hora,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-02,Instrucciones y dosificación,1,se confunden las series y repeticiones o no recuerdan un ejercicio.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-03,Apoyo audiovisual,1,alguna manera o video en corto que muestre cómo se hacen.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-04,Supervisión y corrección de ejecución,1,"recordaba el ejercicio, pero no la posición correcta de la pierna y lo estaba haciendo diferente.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-05,Registro de dolor y fatiga,1,"Si registra un dolor fuerte, mucha fatiga o mareo",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-06,Seguimiento del progreso,1,un resumen sencillo del cumplimiento de los últimos días.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-07,Comunicación con fisioterapeuta,1,saber a quién contactar.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-08,Privacidad de cámara y datos,1,Me preocuparía que la cámara se active sin que el paciente se dé cuenta,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-09,Acceso familiar autorizado,1,El paciente debería recibir una solicitud clara donde se indique que el familiar tendrá acceso y exactamente qué información podrá ver.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-10,Seguridad y señales de alarma,1,"dolor muy fuerte, una caída, mareo intenso, dificultad para respirar",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-11,Accesibilidad y facilidad de uso,1,letras grandes y botones claros.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-16,Priorización y frecuencia de avisos,1,No quisiera recibir alerta por cosas pequeñas para que las importantes no se pierdan.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-03,SUB-17,Revocación y gestión de permisos,1,Si el paciente se retira el permiso y el familiar debería dejar de ver la información de ese momento.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-03_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-01,Adherencia y recordatorios,1,Mi hermano me ayudaba a organizar los horarios y yo marcaba cada rutina en una hoja pegada en la refrigeradora.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-02,Instrucciones y dosificación,1,"Me mostraba la posición correcta, las repeticiones, cuánto tiempo mantener cada movimiento",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-03,Apoyo audiovisual,1,"Me servirían instrucciones por voz, letras grandes, una imagen por cada paso",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-04,Supervisión y corrección de ejecución,1,Me daba temor perder el equilibrio al realizar ejercicios de pie.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-05,Registro de dolor y fatiga,1,"Registraría el dolor antes y después de la rutina, la inflamación",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-06,Seguimiento del progreso,1,"Habría sido útil comparar la flexión de la rodilla, el dolor y la distancia caminada durante varias semanas.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-07,Comunicación con fisioterapeuta,1,permita informar dolor o inflamación sin esperar a la próxima cita. El fisioterapeuta debería responder,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-08,Privacidad de cámara y datos,1,"Quisiera poder elegir cuándo se activa, ver una señal clara mientras funciona y confirmar que el video no quede guardado sin mi permiso.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-09,Acceso familiar autorizado,1,"Mi hermano podría recibir recordatorios y conocer si cumplí la rutina, pero no debería ver el diagnóstico completo ni los videos, a menos que yo lo autorice.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-10,Seguridad y señales de alarma,1,mensajes que diferencien el dolor esperado de una señal de alerta.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-11,Accesibilidad y facilidad de uso,1,"Debería poder abrir la rutina del día e iniciarla con un botón grande, en un máximo de dos acciones.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-13,Control profesional de las decisiones,1,El fisioterapeuta debería responder o ajustar la rutina cuando considere necesario.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-15,Vigencia y versiones de rutinas,1,Cuando cambiaron mi rutina continué dos días con la hoja anterior porque no entendí cuál era la vigente.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-16,Priorización y frecuencia de avisos,1,Preferiría un aviso treinta minutos antes y otro solo si no he iniciado la sesión.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FAM-04,SUB-17,Revocación y gestión de permisos,1,Autorizaría a mi hermana mediante un código temporal y debería existir una opción sencilla para retirar ese permiso.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FAM-04_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-01,Adherencia y recordatorios,1,"ver qué cumplimiento va los ejercicios, si está cumpliendo o no.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-02,Instrucciones y dosificación,1,"Sería una la duración que tenga este paciente, la frecuencia que va haciendo los ejercicios",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-04,Supervisión y corrección de ejecución,1,"Puede haber una postura incorrectas, desluxaciones, momentos incompletos también",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-05,Registro de dolor y fatiga,1,los niveles de esfuerzo que tenga el paciente. Como también el dolor se presenta,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-06,Seguimiento del progreso,1,"Primeramente, el progreso del paciente.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
FIS-01,SUB-10,Seguridad y señales de alarma,1,ver si hay signos de alarma sobre este paciente.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_FIS-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-01,Adherencia y recordatorios,1,por lo general esto no siempre se olvida porque son algunos ejercicios que uno toma en sesión.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-02,Instrucciones y dosificación,1,un guía explicativo de cómo realizar el ejercicio para uno acordarse de repeticiones y demás.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-03,Apoyo audiovisual,1,Yo creo que un vídeo explicativo.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-04,Supervisión y corrección de ejecución,1,Que falta la supervisión o la guía de recordar hacer el ejercicio.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-05,Registro de dolor y fatiga,1,El dolor.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-06,Seguimiento del progreso,1,el fisioterapeuta te manda un documento en cuál te va indicando los avances que tiene.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-07,Comunicación con fisioterapeuta,1,Siempre estar pendiente o evaluar después de consulta cómo estuvo el paciente o cómo se sintió después de consulta del paciente.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-08,Privacidad de cámara y datos,1,Yo creería que los datos en sí.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-NTEC-01,SUB-09,Acceso familiar autorizado,1,"Yo creo que las tres personas infectadas, el fisioterapeuta, mi persona y un familiar.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-NTEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-01,Adherencia y recordatorios,1,"el paciente hace los ejercicios, pero los hace, digamos, de manera muy rápida o tal vez ni los hace.",02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-02,Instrucciones y dosificación,1,"el paciente dice, no, es que yo me siento bien y te pone mucho peso o hace muchas repeticiones",02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-03,Apoyo audiovisual,1,lo que yo hago es enviar un video para que el paciente se guía con este video de cómo debe realizar los ejercicios en casa.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-04,Supervisión y corrección de ejecución,1,el paciente debería siempre tener una supervisión.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-05,Registro de dolor y fatiga,1,la escala de esfuerzo percibido para saber qué tanto cansancio o fatiga siente el paciente.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-06,Seguimiento del progreso,1,diariamente se debe tener conocimiento de cómo va avanzando el paciente,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-07,Comunicación con fisioterapeuta,1,"cuando el paciente ya no se encuentra en la terapia, lo que hacemos siempre es por whatsapp",02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-10,Seguridad y señales de alarma,1,"los ejercicios de resistencia, es decir, los que ya incluyen peso, eh, sí son un poquito más complicados porque los mismos le pueden generar alguna lesión al paciente si no se lo dosifica bien",02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista_Parte2.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-11,Accesibilidad y facilidad de uso,1,Aquí se complica un poco en la cuestión del adulto mayor que muchas veces no maneja el celular o las tecnologías.,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
WALK-TEC-01,SUB-12,Organización centralizada,1,tengo una hoja ya de un formato en word y lo que hago es anotar toda la información en ese formato,02_Evidencias/Transcripciones/TRANSCRIPCIONES_WALK-TEC-01_Entrevista_Parte2.txt,Respaldo literal suficiente según la definición vigente del libro de códigos.
